image path：/home/u23211510025/process/val_batch28/C202401622/Step3_sc_slide/C202401622
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_45_43_2.png	good	[0.0004691166977863759, 0.9953145980834961, 0.0008608209900557995, 0.001767451991327107, 0.0006865394534543157, 0.0007917038165032864, 0.00010974572796840221]
tile_12_18_6.png	good	[0.00032555279904045165, 0.9908387064933777, 0.000393842434277758, 0.0010169785236939788, 0.0016260137781500816, 0.002651318209245801, 0.003147493116557598]
tile_55_40_4.png	good	[0.032143428921699524, 0.553698718547821, 0.37521347403526306, 0.0014557366957888007, 0.02558828704059124, 0.009758330881595612, 0.002141932025551796]
tile_35_46_0.png	good	[0.04563711956143379, 0.8878932595252991, 0.002155490918084979, 0.0006318108644336462, 0.024943413212895393, 0.00298034748993814, 0.03575849160552025]
tile_27_27_0.png	good	[1.1496244951558765e-06, 0.9999741315841675, 2.8924362140969606e-06, 5.661103728016315e-07, 1.953734681592323e-05, 1.5806389228600892e-06, 1.8151632730223355e-07]
tile_18_53_1.png	good	[0.4448675513267517, 0.4886350929737091, 0.00252527161501348, 0.026479413732886314, 0.031912002712488174, 0.003005677368491888, 0.002574942074716091]
tile_28_16_1.png	good	[4.257445834809914e-05, 0.9978171586990356, 0.0004419570614118129, 6.656679488514783e-06, 0.001590738887898624, 9.723657422000542e-05, 3.773778644244885e-06]
tile_44_54_1.png	good	[0.0036355056799948215, 0.9494508504867554, 0.008425625041127205, 0.0001300709118368104, 0.03370770066976547, 0.004410962574183941, 0.00023930957831908017]
tile_36_35_1.png	good	[0.1312878429889679, 0.8278579711914062, 0.00164118898101151, 0.002962484024465084, 0.030798058956861496, 0.004366840235888958, 0.0010855498258024454]
tile_61_47_0.png	good	[0.10251329094171524, 0.7922327518463135, 0.019835270941257477, 0.006081956438720226, 0.019272904843091965, 0.0320877805352211, 0.027976052835583687]
